known_trends,outcomes,selected,system,aggrement,strength,len
bbb,1407,b,RuleThree,0.779673063,c. modest,3
bbbb,768,b,pattern,0.865885417,d. strong,4
bbbbb,28993,b,SCB,0.848101266,d. strong,5
bbp,1052,p,RuleThree,0.6121673,b. nominal,3
bbpbb,23083,b,SCB,0.611272365,b. nominal,5
bbpbp,23191,b,SCB,0.716872925,c. modest,5
bbpp,454,b,pattern,0.583700441,a. weak,4
bbppb,24349,b,SCB,0.754568976,c. modest,5
bpb,24648,b,RuleThree,0.682530023,b. nominal,3
bpbbb,23057,b,SCB,0.660103222,b. nominal,5
bpbp,507,b,pattern,0.74556213,c. modest,4
bpbpb,23511,p,SCB,0.675768789,b. nominal,5
bpppb,21744,b,SCB,0.619251288,b. nominal,5
bpppp,21095,p,SCB,0.633846883,b. nominal,5
pbb,1054,b,RuleThree,0.679316888,b. nominal,3
pbbbb,24535,b,SCB,0.712736906,c. modest,5
pbbp,22797,b,pattern,0.627187788,b. nominal,4
pbbpb,21926,b,SCB,0.603986135,b. nominal,5
pbbpp,20495,b,SCB,0.589412052,a. weak,5
pbp,42171,p,RuleThree,0.552251547,a. weak,3
pbpb,521,p,pattern,0.667946257,b. nominal,4
pbpbb,21170,b,SCB,0.553141238,a. weak,5
pbpbp,23751,b,SCB,0.754115616,c. modest,5
pbppp,20409,p,SCB,0.569797638,a. weak,5
ppb,1017,b,RuleThree,0.623402163,b. nominal,3
ppbbb,22190,b,SCB,0.633483551,b. nominal,5
ppbbp,22378,p,SCB,0.690633658,b. nominal,5
ppbpb,20764,p,SCB,0.627817376,b. nominal,5
ppp,1200,p,RuleThree,0.785833333,c. modest,3
pppbb,21064,b,pattern,0.635064565,b. nominal,5
pppp,671,p,pattern,0.842026826,d. strong,4
ppppb,21376,b,SCB,0.594358159,a. weak,5
ppppp,22497,p,SCB,0.802151398,d. strong,5
